ID,Name in English,Degree of endangerment,Countries,Number of speakers,country_count,naive_speakers_per_country
2596,Kayeli,Extinct,Indonesia,0.0,1,0.0
2634,Kazukuru,Extinct,Solomon Islands,0.0,1,0.0
126,Kede,Extinct,Angola,0.0,1,0.0
371,Kemi Saami,Extinct,Finland,0.0,1,0.0
2286,Kenaboi,Extinct,Malaysia,0.0,1,0.0
479,Kerek,Extinct,Russian Federation,0.0,1,0.0
2050,Ketangalan,Extinct,China,0.0,1,0.0
1148,Khaccaḍ Bhoṭe,Definitely endangered,Nepal,0.0,1,0.0
1613,Kilit,Extinct,Azerbaijan,0.0,1,0.0
137,Kinare,Extinct,Kenya,0.0,1,0.0
822,Klamath-Modoc,Extinct,United States of America,0.0,1,0.0
828,Konomihu,Extinct,United States of America,0.0,1,0.0
100,Kore,Extinct,Kenya,0.0,1,0.0
485,Kott,Extinct,Russian Federation,0.0,1,0.0
